Ticker,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
GOOGL,2024-10-29,1.85,2.12,14.83
GOOGL,2025-02-04,2.13,2.15,1.18
GOOGL,2025-04-24,2.01,2.81,40.1
GOOGL,2025-07-23,2.19,2.31,5.67
GOOGL,2025-10-29,2.26,2.87,26.88
GOOGL,2026-02-04,2.64,2.82,7.01
GOOGL,2026-04-29,2.67,5.11,91.59
INTC,2016-01-14,0.63,0.74,17.03
INTC,2016-04-19,0.48,0.54,12.78
INTC,2016-07-20,0.53,0.59,10.81
INTC,2016-10-18,0.72,0.8,10.74
INTC,2017-01-26,0.75,0.79,5.69
INTC,2017-04-27,0.65,0.66,2.0
INTC,2017-07-27,0.68,0.72,6.05
INTC,2017-10-26,0.8,1.01,25.75
INTC,2018-01-25,0.87,1.08,24.67
INTC,2018-04-26,0.67,0.93,39.21
INTC,2018-07-26,0.97,1.04,6.98
INTC,2018-10-25,1.15,1.4,21.92
INTC,2019-01-24,1.22,1.28,4.56
INTC,2019-04-25,0.87,0.89,2.35
INTC,2019-07-25,0.9,1.06,17.96
INTC,2019-10-24,1.24,1.42,14.56
INTC,2020-01-23,1.25,1.52,21.4
INTC,2020-04-23,1.26,1.45,14.95
INTC,2020-07-23,1.11,1.23,10.61
INTC,2020-10-22,1.11,1.11,0.23
INTC,2021-01-21,1.11,1.52,36.91
INTC,2021-04-22,1.14,1.39,21.71
INTC,2021-07-22,1.07,1.28,19.28
INTC,2021-10-21,1.11,1.71,53.61
INTC,2022-01-26,0.91,1.09,19.78
INTC,2022-04-28,0.8,0.87,9.16
INTC,2022-07-28,0.7,0.29,-58.29
INTC,2022-10-27,0.33,0.59,80.04
INTC,2023-01-26,0.2,0.1,-50.48
INTC,2023-04-27,-0.14,-0.04,72.19
INTC,2023-07-27,-0.03,0.13,546.43
INTC,2023-10-26,0.22,0.41,87.04
INTC,2024-01-25,0.45,0.54,20.29
INTC,2024-04-25,0.14,0.18,31.74
INTC,2024-08-01,0.1,0.02,-80.18
INTC,2024-10-31,-0.03,-0.46,-1533.52
INTC,2025-01-30,0.12,0.13,8.71
INTC,2025-04-24,,0.13,2769.76
INTC,2025-07-24,0.01,-0.1,-1280.64
INTC,2025-10-23,0.01,0.23,3121.29
INTC,2026-01-22,0.08,0.15,81.51
INTC,2026-04-23,0.01,0.29,2108.68
META,2016-01-27,0.42,0.54,27.56
META,2016-04-27,0.4,0.52,29.18
META,2016-07-27,0.57,0.71,25.23
META,2016-11-02,0.97,1.09,12.79
META,2017-02-01,1.31,1.41,7.41
META,2017-05-04,1.12,1.36,21.35
META,2017-07-26,1.12,1.32,17.76
META,2017-11-01,1.28,1.59,23.94
META,2018-01-31,1.94,1.44,-25.79
META,2018-04-25,1.34,1.69,25.67
META,2018-07-25,1.71,1.74,1.93
META,2018-10-30,1.45,1.76,21.14
META,2019-01-30,2.18,2.38,9.35
META,2019-04-24,1.61,0.85,-47.31
META,2019-07-24,1.88,1.99,6.13
META,2019-10-30,1.88,2.12,12.86
META,2020-01-29,2.53,2.56,1.26
META,2020-04-29,1.7,1.71,0.66
META,2020-07-30,1.4,1.8,28.88
META,2020-10-29,1.91,2.71,41.95
META,2021-01-27,3.2,3.88,21.43
META,2021-04-28,2.34,3.3,40.92
META,2021-07-28,3.01,3.61,20.04
META,2021-10-25,3.18,3.22,1.32
META,2022-02-02,3.83,3.67,-4.1
META,2022-04-27,2.55,2.72,6.82
META,2022-07-27,2.55,2.46,-3.38
META,2022-10-26,1.85,1.64,-11.32
META,2023-02-01,2.24,1.76,-21.53
META,2023-04-26,1.98,2.2,11.2
META,2023-07-26,2.91,2.98,2.51
META,2023-10-25,3.6,4.39,21.96
META,2024-02-01,4.97,5.33,7.23
META,2024-04-24,4.32,4.71,8.92
META,2024-07-31,4.78,5.16,7.9
META,2024-10-30,5.3,6.03,13.86
META,2025-01-29,6.76,8.02,18.67
META,2025-04-30,5.22,6.43,23.11
META,2025-07-30,5.86,7.14,21.82
META,2025-10-29,6.71,1.05,-84.34
META,2026-01-28,8.22,8.88,8.0
META,2026-04-29,6.66,10.44,56.79
MSFT,2016-01-28,0.53,0.62,17.06
MSFT,2016-04-21,0.64,0.62,-2.95
MSFT,2016-07-19,0.58,0.69,18.18
MSFT,2016-10-20,0.68,0.76,11.39
MSFT,2017-01-26,0.79,0.84,6.98
MSFT,2017-04-27,0.7,0.73,4.67
MSFT,2017-07-20,0.71,0.98,38.72
MSFT,2017-10-26,0.73,0.84,15.42
MSFT,2018-01-31,0.87,0.96,10.93
MSFT,2018-04-26,0.85,0.95,11.74
MSFT,2018-07-19,1.08,1.13,4.84
MSFT,2018-10-24,0.97,1.14,18.12
MSFT,2019-01-30,1.09,1.1,0.82
MSFT,2019-04-24,1.0,1.14,14.17
MSFT,2019-07-18,1.21,1.37,12.88
MSFT,2019-10-23,1.24,1.38,10.98
MSFT,2020-01-29,1.32,1.51,13.96
MSFT,2020-04-29,1.27,1.4,10.34
MSFT,2020-07-22,1.37,1.46,6.42
MSFT,2020-10-27,1.55,1.82,17.72
MSFT,2021-01-26,1.64,2.03,23.99
MSFT,2021-04-27,1.78,1.95,9.67
MSFT,2021-07-27,1.93,2.17,12.71
MSFT,2021-10-26,2.08,2.27,9.3
MSFT,2022-01-25,2.32,2.48,6.97
MSFT,2022-04-26,2.2,2.22,1.06
MSFT,2022-07-26,2.29,2.23,-2.69
MSFT,2022-10-25,2.31,2.35,1.92
MSFT,2023-01-24,2.32,2.32,0.21
MSFT,2023-04-25,2.23,2.45,9.77
MSFT,2023-07-25,2.55,2.69,5.59
MSFT,2023-10-24,2.65,2.99,12.85
MSFT,2024-01-30,2.77,2.93,5.83
MSFT,2024-04-25,2.84,2.94,3.4
MSFT,2024-07-30,2.94,2.95,0.23
MSFT,2024-10-30,3.11,3.3,6.25
MSFT,2025-01-29,3.12,3.23,3.47
MSFT,2025-04-30,3.22,3.46,7.4
MSFT,2025-07-30,3.38,3.65,8.09
MSFT,2025-10-29,3.66,3.72,1.59
MSFT,2026-01-28,3.92,4.14,5.69
MSFT,2026-04-29,4.06,4.27,5.22
MU,2016-03-30,-0.09,-0.05,44.7
MU,2016-06-30,-0.1,-0.08,17.49
MU,2016-10-04,-0.09,-0.05,46.97
MU,2016-12-21,0.29,0.32,11.63
MU,2017-03-23,0.86,0.9,4.58
MU,2017-06-29,1.51,1.62,7.17
MU,2017-09-26,1.84,2.02,9.91
MU,2017-12-19,2.21,2.45,10.88
MU,2018-03-22,2.74,2.82,2.98
MU,2018-06-20,3.14,3.15,0.44
MU,2018-09-20,3.32,3.53,6.21
MU,2018-12-18,2.97,2.97,0.03
MU,2019-03-20,1.66,1.71,3.05
