date,delta_dollars,gamma_dollars,vega_dollars,theta_dollars,open_legs,n_tickers
2024-04-02,4793.634037576319,799.6274147002391,1818.6909174120342,-492.1178212441727,44,22
2024-04-03,5124.2366209750935,788.7651012028842,1822.3323794597661,-480.79239137639695,44,22
2024-04-04,4017.994852522189,805.7085970318151,1763.4837079114384,-511.30581636083645,44,22
2024-04-05,4808.285258852173,773.8971026856246,1672.547901904838,-488.3034080361795,44,22
2024-04-08,4705.214838950858,801.4365224209178,1635.059802149247,-515.1961551218377,44,22
2024-04-09,4725.154298588547,827.7169751657601,1657.9612117161705,-497.042745804406,44,22
2024-04-10,4287.001031087915,350.7497392022989,1586.3286684088328,-175.7914389025777,46,23
2024-04-11,5223.010827748636,324.6875968189929,1488.013616959915,181.8038534224834,50,23
2024-04-12,4173.656938252817,314.2904431299868,1434.7419202901647,254.74500102468195,49,23
2024-04-15,4123.792356406675,372.8887285496761,1642.437000870045,655.7734047046682,50,23
2024-04-16,4074.1653178284323,276.8497281631416,1653.5813690461102,1224.9711857707764,54,23
2024-04-17,3159.9545657135127,576.6974714903947,1655.276310701745,876.3468668957782,57,23
2024-04-18,2193.0350630277776,576.6925715890354,1619.16807823799,2526.9646014697505,67,24
2024-04-19,256.8255816202315,715.5951793835967,1395.7127765488756,-66.13826430652705,64,24
2024-04-22,909.3941757654522,772.8471055438217,1156.1056066699,325.6944459308198,64,23
2024-04-23,2011.895736303579,713.7195151497706,993.0631865202438,772.7749199956729,70,23
2024-04-24,616.9395734303429,662.7862378532739,994.9166739940847,1407.8789969325653,70,23
2024-04-25,1930.5712002168168,702.7503444870074,975.4453707164547,1636.250389690673,74,23
2024-04-26,2612.4425363950886,903.1275873614402,1225.6730068886134,-225.28052804274517,64,23
2024-04-29,2511.2578785097253,941.8034367802089,1269.0760998843316,26.808588511174186,68,23
2024-04-30,1521.551004978965,812.3911759678107,1275.278188378561,350.0365120808296,64,23
2024-05-01,731.9074916592517,690.1214074513521,1197.7430056045364,392.8789440424638,66,23
2024-05-02,1346.230801698079,703.5773404599336,1159.5512897629085,592.9350472071637,61,23
2024-05-03,2855.9428831836703,989.1698498831328,1248.9736775530985,-438.9230766451993,51,23
2024-05-06,3941.722211029762,992.1483414786609,1181.8086141791082,-398.3287579579001,49,23
2024-05-07,3844.012492436451,1018.7128654309901,1210.071057548051,-371.0501196149849,54,23
2024-05-08,4049.343151748867,990.8590830644398,1056.552453343934,-199.84234541278914,56,23
2024-05-09,3381.5592831427966,1026.5269791301682,1197.325503441319,-391.1942333845145,55,23
2024-05-10,4255.579361633137,1039.0103072525476,1205.0647070039256,-407.7648089960005,53,23
2024-05-13,4547.60141776693,1049.0446800601085,1183.4855044564445,-330.6811973329377,57,22
2024-05-14,5142.262613123611,969.6361532581617,1100.9914936886726,-237.8717200069326,55,22
2024-05-15,6249.370063080084,807.8475235990476,950.3179458285036,-85.90184789158047,56,22
2024-05-16,5909.479412422938,853.8517605882186,958.6195679315472,101.63607849471177,55,22
2024-05-17,5400.395381332296,967.495865395954,993.6022613402458,-389.4922069293452,50,22
2024-05-20,6147.966659113125,912.9683802699961,924.4120634169971,-283.72699899871844,48,21
2024-05-21,6187.884918482653,945.7368453924723,1370.2741492325358,-270.3743846010425,50,22
2024-05-22,3290.7146925743905,842.1177781409474,1303.192170240412,-363.95542470297045,46,21
2024-05-23,3146.277883382849,877.9554321294065,1328.5342388168874,-238.19673209822042,46,21
2024-05-24,3945.245019188615,852.2453263384043,1136.2010642987373,-432.1411686587991,42,21
2024-05-28,3968.891263261831,791.318264079977,1180.6071358566578,-462.23404096515947,42,21
2024-05-29,3445.3973646734294,817.5536327495878,1146.073012988277,-504.6382638522033,42,21
2024-05-30,2588.3898977791964,840.3707016558587,1085.9417834002252,-518.6706155854075,42,21
2024-05-31,1974.3181665513844,861.9353002892451,1066.979303014888,-567.0878153466629,44,22
2024-06-03,1878.003580984015,838.845595190236,1067.8493926624626,-621.233029867057,44,22
2024-06-04,1939.8023157520472,771.2754534365273,1286.514014491341,-609.5378255608072,48,22
