n_entry,m_exit,n_trades,cum_pnl,avg_pnl,win_rate,avg_ret,med_ret
12,2,451,113613.52058792113,251.914679795834,46.11973392461197,11.727417892754003,-9.316471920737717
12,3,450,98789.51997756958,219.5322666168213,45.77777777777778,10.674321910502993,-8.832374171832399
12,4,454,80703.51446914673,177.76104508622626,43.83259911894273,9.300795324772688,-9.7036202934084
12,5,455,88528.51446914671,194.5681636684543,44.61538461538462,8.871006207218379,-8.328488705095308
12,6,455,93630.51446914673,205.78135048164117,45.27472527472528,7.537466055128287,-9.539176132272447
12,7,454,115276.51454544067,253.91302763312925,44.713656387665196,8.572271723157899,-10.193113170702663
12,8,455,95605.51446914674,210.12200982230053,45.27472527472528,6.739036799933012,-7.321984242584772
12,9,455,79839.51446914674,175.47146037175108,45.934065934065934,6.687155455187947,-8.608285176385333
12,10,455,77329.51446914674,169.95497685526757,45.05494505494506,5.228304714003812,-11.022162543402777
12,11,455,76951.51446914673,169.1242076244983,45.05494505494506,6.088785299061365,-10.711814751059348
12,12,455,98393.51446914673,216.24948234977302,46.15384615384615,7.829532047113573,-4.8607780359968356
12,13,455,81135.51446914673,178.3198120201027,46.81318681318681,7.69708745358982,-5.234134558475379
12,14,455,72913.51446914676,160.2494823497731,46.15384615384615,6.954111312237159,-8.959995117187534
12,15,455,75498.51446914673,165.9308010310917,44.175824175824175,5.899492307285901,-9.92406917523732
13,1,450,125330.52058792114,278.5122679731581,46.88888888888889,13.27540637400751,-8.072568773483377
13,2,451,125317.52058792114,277.86589930802916,45.8980044345898,13.788508721869142,-6.999282666488256
13,3,450,110429.51997756955,245.39893328348788,46.88888888888889,12.856800965776754,-6.436783770276557
13,4,454,92985.51446914671,204.81390852234958,45.37444933920705,11.810560062614545,-7.440059617248892
13,5,455,100770.5144691467,221.4736581739488,45.714285714285715,11.373833919247028,-7.283037293632093
13,6,455,105872.51446914671,232.68684498713563,45.494505494505496,9.88411852788857,-10.096148955516327
13,7,454,127526.51454544067,280.89540648775477,44.49339207048458,10.85887127869377,-9.635273141228591
13,8,455,107847.51446914673,237.02750432779501,45.934065934065934,8.958096956546353,-7.999997127757363
13,9,455,92081.51446914673,202.37695487724557,46.37362637362637,8.729436633058969,-7.7866861979166435
13,10,455,89571.51446914673,196.86047136076203,45.05494505494506,7.362350577841439,-7.969924812030057
13,11,455,89193.51446914673,196.0297021299928,44.395604395604394,8.210020888670046,-9.080816937990866
13,12,455,110635.51446914671,243.1549768552675,47.69230769230769,10.164893051200496,-2.856267781504539
13,13,455,93377.51446914671,205.22530652559718,47.03296703296703,9.945890459993715,-4.705900304457742
13,14,455,85155.51446914676,187.1549768552676,46.59340659340659,9.368020164786895,-6.241536237491505
13,15,455,87740.5144691467,192.83629553658616,44.175824175824175,8.23138384827052,-9.44875882366511
14,1,447,153388.51964187622,343.15105065296694,46.308724832214764,17.49737317585635,-6.95649520210596
