ticker,earn_dt,short_entry_dt,long_entry_dt,short_exit_dt,long_exit_dt,sc_entry,sp_entry,lc_entry,lp_entry,sc_exit,sp_exit,lc_exit,lp_exit,short_credit,short_debit,short_pnl,long_debit,long_credit,long_pnl,net_premium,total_pnl,return_pct
ABNB,2024-11-07,2024-10-31,2024-11-13,2024-11-08,2025-02-12,6.1,6.15,9.35,11.0,0.0,0.3899993896484375,9.55,3.7,1225.0,38.99993896484375,1186.0000610351562,2035.0000000000002,1325.0,-710.0000000000002,810.0000000000002,476.000061035156,58.76543963396986
ABNB,2025-02-13,2025-02-06,2025-02-12,2025-02-14,2025-04-30,5.2,7.15,15.9,8.8,26.419998168945312,0.0,1.63,14.3,1235.0000000000002,2641.9998168945312,-1406.999816894531,2470.0000000000005,1593.0,-877.0000000000005,1235.0000000000002,-2283.9998168945312,-184.93925642870695
ABNB,2025-05-01,2025-04-24,2025-04-24,2025-05-02,2025-08-05,4.7,4.7,14.2,10.8,5.260002136230469,0.0,10.85,1.62,940.0,526.0002136230469,413.9997863769531,2500.0,1247.0,-1253.0,1560.0,-839.0002136230469,-53.78206497583634
ABNB,2025-08-06,2025-07-30,2025-08-12,2025-08-08,2025-11-05,5.25,5.35,4.35,17.1,0.0,13.980003356933594,1.8,12.6,1060.0,1398.0003356933594,-338.0003356933594,2145.0000000000005,1440.0,-705.0000000000005,1085.0000000000005,-1043.0003356933598,-96.12906319754464
ABNB,2025-11-06,2025-10-30,2025-11-05,2025-11-07,2026-02-11,6.05,4.45,12.5,11.85,0.0,4.120002746582031,2.84,7.9,1050.0,412.0002746582031,637.9997253417969,2435.0,1074.0,-1361.0,1385.0,-723.0002746582031,-52.20218589589914
ACM,2017-11-13,2017-11-06,2017-12-18,2017-11-17,2018-02-05,1.6,0.45,3.8,0.8,0.0,0.279998779296875,1.6,0.6,205.00000000000003,27.9998779296875,177.00012207031253,459.99999999999994,220.00000000000003,-239.99999999999991,254.99999999999991,-62.999877929687386,-24.705834482230358
ACM,2018-11-12,2018-11-05,2019-01-02,2018-11-16,2019-02-04,0.6,1.0,0.15,6.0,0.4399986267089844,0.0,0.2,1.6,160.0,43.99986267089844,116.00013732910156,615.0,180.0,-435.0,455.0,-318.99986267089844,-70.10985992766999
ACM,2019-11-12,2019-11-05,2019-12-23,2019-11-15,2020-01-31,0.7,1.0,2.5,1.05,0.6899986267089844,0.0,5.8,0.2,170.0,68.99986267089844,101.00013732910156,355.0,600.0,245.0,185.0,346.00013732910156,187.02710125897383
ACM,2020-11-16,2020-11-09,2020-12-17,2020-11-20,2021-02-05,1.6,1.75,5.5,4.2,2.729999542236328,0.0,6.3,0.1,335.0,272.9999542236328,62.00004577636719,969.9999999999999,640.0,-329.9999999999999,634.9999999999999,-267.9999542236327,-42.204717200572084
ACM,2021-11-15,2021-11-08,2021-12-16,2021-11-19,2022-02-04,2.25,1.2,6.5,2.3,3.029998779296875,0.0,1.65,2.25,345.0,302.9998779296875,42.0001220703125,880.0000000000001,390.0,-490.0000000000001,535.0000000000001,-447.9998779296876,-83.73829494012851
