ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
ORCL,2023-06-12,2023-09-11,2023-06-05,2023-06-16,2023-09-15,106.93000030517578,105.0,ORCL  230616C00105000,ORCL  230616P00105000,ORCL  230915C00105000,ORCL  230915P00105000
ORCL,2023-09-11,2023-12-11,2023-09-04,2023-09-15,2023-12-15,120.93000030517578,120.0,ORCL  230915C00120000,ORCL  230915P00120000,ORCL  231215C00120000,ORCL  231215P00120000
ORCL,2023-12-11,2024-03-11,2023-12-04,2023-12-15,2024-03-15,115.77999877929688,115.0,ORCL  231215C00115000,ORCL  231215P00115000,ORCL  240315C00115000,ORCL  240315P00115000
ORCL,2024-03-11,2024-06-11,2024-03-04,2024-03-15,2024-06-21,114.05999755859375,115.0,ORCL  240315C00115000,ORCL  240315P00115000,ORCL  240621C00115000,ORCL  240621P00115000
ORCL,2024-06-11,2024-09-09,2024-06-04,2024-06-14,2024-09-20,120.06999969482422,120.0,ORCL  240614C00120000,ORCL  240614P00120000,ORCL  240920C00120000,ORCL  240920P00120000
ORCL,2024-09-09,2024-12-09,2024-09-02,2024-09-13,2024-12-20,141.2899932861328,140.0,ORCL  240913C00140000,ORCL  240913P00140000,ORCL  241220C00140000,ORCL  241220P00140000
ORCL,2024-12-09,2025-03-10,2024-12-02,2024-12-13,2025-03-21,181.41000366210938,180.0,ORCL  241213C00180000,ORCL  241213P00180000,ORCL  250321C00180000,ORCL  250321P00180000
ORCL,2025-03-10,2025-06-11,2025-03-03,2025-03-14,2025-06-20,162.02000427246094,160.0,ORCL  250314C00160000,ORCL  250314P00160000,ORCL  250620C00160000,ORCL  250620P00160000
ORCL,2025-06-11,2025-09-09,2025-06-04,2025-06-13,2025-09-19,168.10000610351562,170.0,ORCL  250613C00170000,ORCL  250613P00170000,ORCL  250919C00170000,ORCL  250919P00170000
ORCL,2025-09-09,2025-12-10,2025-09-02,2025-09-12,2025-12-19,225.3000030517578,230.0,ORCL  250912C00230000,ORCL  250912P00230000,ORCL  251219C00230000,ORCL  251219P00230000
ORCL,2025-12-10,2026-03-10,2025-12-03,2025-12-12,2026-03-20,207.72999572753906,210.0,ORCL  251212C00210000,ORCL  251212P00210000,ORCL  260320C00210000,ORCL  260320P00210000
ORCL,2026-03-10,2026-06-10,2026-03-03,2026-03-13,2026-06-19,149.00999450683594,150.0,ORCL  260313C00150000,ORCL  260313P00150000,ORCL  260619C00150000,ORCL  260619P00150000
PDD,2018-11-20,2019-03-13,2018-11-13,2018-11-23,2019-03-15,17.149999618530273,17.0,PDD   181123C00017000,PDD   181123P00017000,PDD   190315C00017000,PDD   190315P00017000
PDD,2019-03-13,2019-05-20,2019-03-06,2019-03-15,2019-06-21,29.989999771118164,30.0,PDD   190315C00030000,PDD   190315P00030000,PDD   190621C00030000,PDD   190621P00030000
PDD,2019-05-20,2019-08-21,2019-05-13,2019-05-24,2019-09-20,20.75,21.0,PDD   190524C00021000,PDD   190524P00021000,PDD   190920C00021000,PDD   190920P00021000
PDD,2019-08-21,2019-11-20,2019-08-14,2019-08-23,2019-12-20,23.559999465942383,24.0,PDD   190823C00024000,PDD   190823P00024000,PDD   191220C00024000,PDD   191220P00024000
PDD,2019-11-20,2020-03-11,2019-11-13,2019-11-22,2020-03-20,41.689998626708984,42.5,PDD   191122C00042500,PDD   191122P00042500,PDD   200320C00042500,PDD   200320P00042500
PDD,2020-03-11,2020-05-22,2020-03-04,2020-03-13,2020-06-19,36.290000915527344,37.5,PDD   200313C00037500,PDD   200313P00037500,PDD   200619C00037500,PDD   200619P00037500
PDD,2020-05-22,2020-08-21,2020-05-15,2020-05-29,2020-09-18,61.29999923706055,60.0,PDD   200529C00060000,PDD   200529P00060000,PDD   200918C00060000,PDD   200918P00060000
PDD,2020-08-21,2020-11-12,2020-08-14,2020-08-28,2020-11-20,85.04000091552734,85.0,PDD   200828C00085000,PDD   200828P00085000,PDD   201120C00085000,PDD   201120P00085000
PDD,2020-11-12,2021-03-17,2020-11-05,2020-11-13,2021-03-19,113.06999969482422,115.0,PDD   201113C00115000,PDD   201113P00115000,PDD   210319C00115000,PDD   210319P00115000
PDD,2021-03-17,2021-05-26,2021-03-10,2021-03-19,2021-06-18,148.13999938964844,150.0,PDD   210319C00150000,PDD   210319P00150000,PDD   210618C00150000,PDD   210618P00150000
PDD,2021-05-26,2021-08-24,2021-05-19,2021-05-28,2021-09-17,127.16999816894531,125.0,PDD   210528C00125000,PDD   210528P00125000,PDD   210917C00125000,PDD   210917P00125000
PDD,2021-08-24,2021-11-26,2021-08-17,2021-08-27,2021-12-17,79.44999694824219,80.0,PDD   210827C00080000,PDD   210827P00080000,PDD   211217C00080000,PDD   211217P00080000
PDD,2021-11-26,2022-03-21,2021-11-19,2021-12-03,2022-04-15,81.87000274658203,80.0,PDD   211203C00080000,PDD   211203P00080000,PDD   220415C00080000,PDD   220415P00080000
PDD,2022-03-21,2022-05-27,2022-03-14,2022-03-25,2022-06-17,25.530000686645508,25.0,PDD   220325C00025000,PDD   220325P00025000,PDD   220617C00025000,PDD   220617P00025000
PDD,2022-05-27,2022-08-29,2022-05-20,2022-06-03,2022-09-16,40.900001525878906,40.0,PDD   220603C00040000,PDD   220603P00040000,PDD   220916C00040000,PDD   220916P00040000
